Date,Open,High,Low,Close,Adj Close,Volume,AAPL_daily_returns
1/6/2010,7.656428,7.686786,7.526786,7.534643,6.499768,552160000,
1/7/2010,7.5625,7.571429,7.466072,7.520714,6.487752,477131200,-0.001848681
1/8/2010,7.510714,7.571429,7.466429,7.570714,6.530883,447610800,0.006648065
1/11/2010,7.6,7.607143,7.444643,7.503929,6.473271,462229600,-0.008821472
1/12/2010,7.471071,7.491786,7.372143,7.418571,6.399639,594459600,-0.011374775
1/13/2010,7.423929,7.533214,7.289286,7.523214,6.489907,605892000,0.014105171
1/14/2010,7.503929,7.516428,7.465,7.479643,6.45232,432894000,-0.005791608
1/15/2010,7.533214,7.557143,7.3525,7.354643,6.34449,594067600,-0.016711818
1/19/2010,7.440357,7.685357,7.401429,7.68,6.625159,730007600,0.044238229
1/20/2010,7.675357,7.698214,7.482143,7.561786,6.523181,612152800,-0.015392536
1/21/2010,7.574286,7.618214,7.400357,7.431071,6.410421,608154400,-0.017286045
1/22/2010,7.385,7.410714,7.041429,7.0625,6.092471,881767600,-0.049598926
1/25/2010,7.2325,7.310714,7.149643,7.2525,6.256377,1065699600,0.026903041
1/26/2010,7.355357,7.6325,7.235,7.355,6.344799,1867110000,0.0141331
1/27/2010,7.3875,7.520714,7.126071,7.424286,6.404567,1722568400,0.009419999
1/28/2010,7.318929,7.339286,7.096428,7.1175,6.139918,1173502400,-0.041321919
1/29/2010,7.181428,7.221428,6.794643,6.859286,5.91717,1245952400,-0.03627866
2/1/2010,6.870357,7,6.832143,6.954643,5.99943,749876400,0.013901916
2/2/2010,6.996786,7.011428,6.906428,6.995,6.034243,698342400,0.005802718
2/3/2010,6.970357,7.15,6.943572,7.115357,6.13807,615328000,0.017206301
2/4/2010,7.026072,7.084643,6.841786,6.858929,5.916861,757652000,-0.036038853
2/5/2010,6.879643,7,6.816072,6.980714,6.02192,850306800,0.017755868
2/8/2010,6.988929,7.067143,6.928571,6.932857,5.980637,478270800,-0.006855455
